Price,Close,High,Low,Open,Volume
Ticker,BTC-USD,BTC-USD,BTC-USD,BTC-USD,BTC-USD
Datetime,,,,,
2026-01-01 17:00:00+00:00,88187.8203125,88358.0390625,87856.0234375,87868.3359375,0
2026-01-01 18:00:00+00:00,88055.2578125,88239.390625,87984.6015625,88239.390625,0
2026-01-01 19:00:00+00:00,88222.2578125,88297.9296875,87970.1875,88062.9765625,0
2026-01-01 20:00:00+00:00,88146.328125,88244.1015625,88133.1328125,88239.71875,0
2026-01-01 21:00:00+00:00,88270.203125,88280.140625,88142.515625,88147.5546875,0
2026-01-01 22:00:00+00:00,88562.9765625,88565.015625,88271.7734375,88271.7734375,242911232
2026-01-01 23:00:00+00:00,88722.0703125,88791.9765625,88378.5078125,88530.3203125,388841472
2026-01-02 00:00:00+00:00,88675.3984375,88754.3984375,88498.2890625,88725.46875,507719680
2026-01-02 01:00:00+00:00,88534.2890625,88739.828125,88433.0234375,88710.0625,0
2026-01-02 02:00:00+00:00,88498.0546875,88550.125,88298.6171875,88535.265625,186787840
2026-01-02 03:00:00+00:00,88778.703125,88985.9609375,88471.65625,88519.609375,978737152
2026-01-02 04:00:00+00:00,88530.375,88862.59375,88530.375,88832.3828125,0
2026-01-02 05:00:00+00:00,88652.2890625,88670.9765625,88477.3984375,88529.6484375,0
2026-01-02 06:00:00+00:00,88838.5703125,88956.0703125,88626.7421875,88636.3359375,574554112
2026-01-02 07:00:00+00:00,88773.3203125,88934.4296875,88748.6640625,88830.1875,424103936
2026-01-02 08:00:00+00:00,89049.5703125,89049.5703125,88711.90625,88754.0859375,516001792
2026-01-02 09:00:00+00:00,89344.4140625,89346.9765625,89024.6328125,89068.890625,1701500928
2026-01-02 10:00:00+00:00,89544.265625,89786.4921875,89356.6328125,89356.6328125,2306879488
2026-01-02 11:00:00+00:00,89428.8046875,89557.59375,89280.6015625,89557.59375,939407360
2026-01-02 12:00:00+00:00,89321.921875,89481.9453125,89293.984375,89412.015625,387647488
2026-01-02 13:00:00+00:00,89291.1015625,89557.453125,89291.1015625,89312.8671875,776005632
2026-01-02 14:00:00+00:00,89565.3359375,89990.46875,88506.0078125,89290.6796875,3307180032
2026-01-02 15:00:00+00:00,89319.90625,89762.53125,88834.8515625,89728.6640625,3514005504
2026-01-02 16:00:00+00:00,90346.578125,90740.125,89190.1171875,89318.4140625,4760252416
2026-01-02 17:00:00+00:00,90283.484375,90865.4453125,90239.125,90338.5234375,2257563648
2026-01-02 18:00:00+00:00,89776.4609375,90510.9296875,89526.8203125,90320.3125,1836531712
2026-01-02 19:00:00+00:00,89878.859375,90054.0,89683.1171875,89739.390625,1196072960
2026-01-02 20:00:00+00:00,89695.359375,90025.4140625,89599.8515625,89869.515625,1267941376
2026-01-02 21:00:00+00:00,90046.5703125,90092.3203125,89724.6796875,89724.6796875,438116352
2026-01-02 22:00:00+00:00,90159.9921875,90347.03125,89990.53125,89990.53125,478527488
2026-01-02 23:00:00+00:00,89946.1171875,90168.9921875,89873.859375,90168.9921875,0
2026-01-03 00:00:00+00:00,90098.6640625,90153.2421875,89929.8984375,89948.5625,0
2026-01-03 01:00:00+00:00,90253.984375,90253.984375,90047.109375,90120.7890625,0
2026-01-03 02:00:00+00:00,90304.015625,90362.2578125,90095.8046875,90221.046875,33968128
2026-01-03 03:00:00+00:00,90293.8828125,90335.0625,90165.5859375,90295.59375,0
2026-01-03 04:00:00+00:00,90122.328125,90391.078125,90076.90625,90321.4921875,8540160
2026-01-03 05:00:00+00:00,90002.6171875,90168.8515625,89895.671875,90148.15625,50565120
2026-01-03 06:00:00+00:00,89853.4140625,90090.3359375,89826.4765625,89993.5625,0
2026-01-03 07:00:00+00:00,89553.9609375,89922.953125,89386.046875,89849.4296875,901804032
2026-01-03 08:00:00+00:00,89646.4609375,89790.5234375,89438.5,89515.1796875,38719488
2026-01-03 09:00:00+00:00,89810.0703125,89942.8671875,89613.03125,89636.7890625,0
2026-01-03 10:00:00+00:00,89766.546875,89842.8984375,89670.390625,89766.7109375,0
2026-01-03 11:00:00+00:00,89713.3671875,89737.3125,89643.015625,89719.78125,0
2026-01-03 12:00:00+00:00,89922.1875,89969.359375,89618.546875,89686.890625,0
2026-01-03 13:00:00+00:00,89956.140625,89984.7421875,89878.421875,89955.921875,0
2026-01-03 14:00:00+00:00,90062.0703125,90183.1015625,89941.8828125,89953.1875,0
2026-01-03 15:00:00+00:00,89927.828125,90090.2265625,89926.546875,90090.2265625,0
2026-01-03 16:00:00+00:00,90055.75,90147.7734375,89875.0,89917.1640625,0
2026-01-03 17:00:00+00:00,90044.3828125,90081.8203125,89979.828125,90057.7109375,0
2026-01-03 18:00:00+00:00,90090.171875,90139.1171875,89982.390625,90030.875,0
2026-01-03 19:00:00+00:00,90056.625,90095.0546875,90007.125,90091.8671875,0
2026-01-03 20:00:00+00:00,90301.4765625,90301.4765625,89979.421875,90065.5546875,0
2026-01-03 21:00:00+00:00,90486.7578125,90643.890625,90277.953125,90310.5,0
2026-01-03 22:00:00+00:00,90526.171875,90672.265625,90450.015625,90487.3125,0
2026-01-03 23:00:00+00:00,90600.7421875,90655.4609375,90441.15625,90548.421875,0
2026-01-04 00:00:00+00:00,91320.8984375,91390.7265625,90615.3671875,90615.3671875,2100066304
2026-01-04 01:00:00+00:00,91197.3046875,91386.375,90984.546875,91293.3515625,506750976
2026-01-04 02:00:00+00:00,91072.4375,91226.046875,91051.6953125,91196.6640625,17674240
2026-01-04 03:00:00+00:00,91205.828125,91300.4609375,91070.25,91088.59375,396124160
2026-01-04 04:00:00+00:00,91360.6796875,91519.984375,91196.921875,91217.7890625,30613504
2026-01-04 05:00:00+00:00,91432.5703125,91438.0,91317.9609375,91349.1484375,0
2026-01-04 06:00:00+00:00,91213.8046875,91685.1796875,91213.8046875,91434.1328125,101595136
2026-01-04 07:00:00+00:00,91474.9375,91474.9375,91206.6875,91206.6875,42860544
2026-01-04 08:00:00+00:00,91307.09375,91487.390625,91176.1171875,91487.390625,265007104
